"Timestamp","Career_Stage","Yr_lead","Yr_field","Yr_super","Where","Before_ActPhys","During_ActPhys","Before_ActInter","During_ActInter","After_act","Volunteer","Success","Challenges","Gen_Advice","Resources_grad","Policies","Other"
"2021/11/22 4:37:44 PM CST","Faculty Member",35,2,5,"Remote environments","check all team members for allergies, meds, pre-existing conditions. Make sure everyone is aware of both transportatin and living conditions, prepare and check a ""need-to-bring"" list for all members of the team","Detailed introduction to safety equipment, contact lists, and likely threats on site Regular ""wellness checks"". ","meet with crew as individuas and as a group. Encourage group participation in WFR training/small boat handling","All-team dinners every night. Regular individual check-ins","Debrief team-members.  Check equipment before storage","I don't","Team Members regarded each other as peers with common goals I was able to play a more ""hands off"" role while at the same time checking in casually but regularly","""romantic"" relationships developing.  This is always tough, some folks can do this without spoiling things for others, other folks make everyone's life miserable.  I try to discourage ""exclusive relationships"" saying that if it is real, it will keep & if it isn't real, get on with the actual job.","Get to know your assistants ahead of time. Ideally in a short field-type setting. Even a couple of hours in the field can often tell you who is going to be useful & who will fold up","Humboldt's Personal Narrative","Get a good health form & make sure EVERYONE fills it out","Have fun.  If you don't have fun, what's the point?"
"2021/11/22 5:14:18 PM CST","Graduate Student",5,6,2,"Remote environments","Discussing with technicians appropriate gear.  Determination of appropriate housing.  Encouragement of question-asking by technicians.","Working in at least pairs for as much as the field experience as possible.
Frequent communication check-ins: Before, after, or both.","Encourage conversations between new techs and old techs to establish expectations from that perspective.  Discuss the chain of supervision, such that any issues can be brought to others as needed.  Encouragement of questions.","Daily mental health checks.  Encouragement of breaks when available.","Follow up conversations, setting expectations for post-field season work, such as further lab work, analysis, or write-ups.  Encouragement of a post-season break.","I've never had to differentiate between those three categories.","Frequent two-way communication.  Clear expectations.  Some prior experience by technicians in remote field situations, even just casual experiences.  ","Imbalanced communication, such that technicians were not responsive.  Technicians unwilling to compromise for labor or housing, increasing their financial burden by their choice.  Technicians that did not ask questions, making it difficult to isolate where they were being challenged. ","There is no such thing as a perfect field season: Something will go wrong.  Understand what can shift in your study and what cannot; prepare for alternatives if you can.  Keep your eyes open and know your field area well; inspiration can save you in a pinch by knowing the available resources at your disposal.  Take tons of pictures!","A solid grasp of maps and mapping can be useful.  Basic survival and emergency workshops.  Knowledge of the dangerous plants and animals in the area.","Supervisor training, if it exists.","Start the permit process as soon as you can, ideally at least 5 months in advance."
"2021/11/22 5:20:19 PM CST","Postdoctoral researcher",10,15,0,"Remote environments","clear safety protocols, strong safety training","assessment of conditions, clear priorities (i.e., safety before science)","clear assignment of responsibilities and reporting structures; group activities before the season starts","make sure everyone has time off; check in to make sure expectations are reasonable, see if workers have concerns around safety or interpersonal interactions","debrief with each person individually about the season (what went well, what could have gone better, suggestions)","I would allow non-volunteers to work more independently.  I would tailor expectations of independence and responsibility to experience level regardless of pay level, although clearly paid assistants often have more experience.  But I would also assess experience under our conditions, rather than relying on self-reporting of previous jobs and experiences.","Setting detailed priorities, making sure everyone got enough sleep, group discussions about daily jobs.  A list of when people were out (taking boats to remote locations) and when they expected to return.","Decisions were being made by people off-island who did not have boots on the ground.  They put pressure on team leads to do nightly banding efforts despite safety concerns.  This was troubling as it was a remote and rugged environment where an injury made evacuation quite difficult (e.g., hard to climb a cliff with an injured leg).","Not to be over-confident.  Better to ask the team to assess conditions than try to exert authority at the expense of personal safety.  Hire a strong team who will support the leader while bringing needed experience that the lead may lack.","The best would be to speak to people who have worked in the field site (or a similar one) and/or with that species previously.","Department or university-level training requirements can be invaluable.  I have been at universities where each skill needs to be noted by a supervisor before being performed independently.  This sometimes seemed onerous, but a bit of bureaucracy is much preferable to another institution where students were sent to remote locations completely untrained.  The latter situation is dangerous to both study species and personnel. ","Constant open communication that minimizes ego and maximizes community is important to dealing with conflict before it becomes destructive."
"2021/11/22 5:57:48 PM CST","Graduate Student",3,5,0,"Coastal habitats (marsh, seagrass, barrier island)","Reviewing ""lessons learned"" from other field leads from the year before; selecting responsible team members; assembling supplies and conducting training as early as possible","(1) Monthly, weekly, and daily safety debriefs. Monthly to review big picture, weekly to go over activities for week and expected risks, daily to review specific site safety issues. (2) Be mindful of crew mental and physical strength. Prioritize team members not data.","Getting to know members one on one and identifying what they need to be successful and feel safe;  ensure enough resources and training for each crew member","Make sure each individual feels empowered to say no when they are uncomfortable; occasional check in meetings to discuss any issues","Review lessons learned; exit strategies with crew members and be open to taking criticism and suggestions. If there were any issues, review what should and could have been done to avoid.","Students and paid assistants are given the chance to develop their own safety plan, which I can review. Volunteers are not given this opportunity due to liability issues.","Patience (particularly under stressful field conditions) with inexperienced crew members. Having monthly, weekly, and daily safety plans which are continuously adjusted as needed. Periodic check ins with team members.","Crew members not listening to leadership can create dangerous situations when unexpected weather occurs.","Be patient. Make Plan A, B, and C. Create a safety plan and review with more experienced leaders. Create contingency plans. Interview crew members for their specific concerns; ask what they need in order to be successful (i.e., autonomy? direct guidance? advice on supplies? work in a team? working alone?)","N/a","Make sure all students know people at the facility who are both mandatory and nonmandatory reporters who they can go to with concerns. Make sure new students know all the mandatory and optional training available to them (boat training, navigation, etc...). I dealt with many issues as a graduate student where I felt unsafe and had no idea who to turn to (advisor developed dementia and coerced me into unsafe field work; heard of other PIs insulting other students looks and weight; second advisor coerced me into signing out boats for other students who weren't trained even though I wouldn't be on that boat). ","Make sure all crew members know people at the facility who are both mandatory and nonmandatory reporters who they can go to with concerns. "
"2021/11/22 6:09:45 PM CST","Professional",3,6,0,"Semi-remote (ie, wildlands near cities)","1-collect emergency contact information for each group member, 2-create an emergency plan including the phone numbers of the nearest emergency response services for each site, 3- determine if your field sites have cell service, if not obtain an emergency beacon with gps tracking and emergency service subscription","1- creating and adhering to a detailed field plan that includes check in times with contacts and overdue times when the emergency contact should start to try to reach out to the group in the field. 2- remind group members that personal safety is of the utmost importance and to be sure they are taking breaks when needed and drinking water. 3- keeping the first aid kit stocked with fresh and appropriate medical supplies. ","1- have a meeting or send out an email reminding all of the professional expectations on fieldwork. 2-make it clear that if someone is ever uncomfortable they should make it know to the crew leader so they can rectify the situation.","","ensuing the crew knows how appreciated and important their work was. sincerely thanking and celebrating their work.","volunteers/undergrads focus is on learning and building basic field skills. kind, careful, and slow guidance is important to maintain moral and ensure quality skills are being established. they need supervision and should not be left alone in the field. grad students/paid assistants are expected to have established most skills and should be more independent. after several trips they should be capable of knowing how to prioritize tasks and accomplish their work with limited supervision.","clear communication, flexibility, empathy, compassion","limited resources, low moral, bad communication, inexperience","keeping excitement levels high is critical. clearly communicate field plans, priority of tasks, and expectations. manage your own expectations and don't plan more work than you can reasonably accomplish in a day. It's better to plan to do less than you think you can accomplish and get more done than try to cram in too much work and feel like you've failed by not finishing what you set out to do. make a checklist of field gear and personal supplies and have multiple people on the team responsible for ensuring everything is packed. ALWAYS triple check that you have everything. anything that can be easily lost or broken (rulers, pencils, calipers, etc) should have multiple back ups packed. This includes things like power tools. eg. if you need an impact wrench, pack extra batteries and a hand wrench. most importantly, remember that when it comes to field work everything goes wrong always so prepare for every way that it possibly could.","CPR/first aid courses might be helpful","no","no"
"2021/11/22 6:34:12 PM CST","Faculty Member",15,9,3,"Exurban/suburban and semi-remote ","Equipment Maintenance, detailed protocols, Clear safety training for all"," Monitor weather, make sure communication and plans are always clear "," Layout clear expectations and boundaries "," Maintain clear expectations and boundaries ","This is more project dependent and a question of how long-term the study is. For long-term studies or multi season studies certainly review and then aggravation on meta-data regarding equipment and field crew can help","This is very much depends on the nature of the project itself. With volunteers time expectations may be different as commitments are more likely to shift. Experience level is generally far more important than whether someone is a volunteer, a student, or a paid assistant in terms of how much training I need to give them and how much work they expected to do independently.","Communication and the expectation of communication from all involved."," Several situations arose when I was on field crews Definitely impacted my leadership strategies. 
1. If at all possible it is best that the crew leader not be rooming with crew members especially if the crew leader has a different days off than the crew member. The temptation my crew leader succumbed to was to ask for work during my down time. I had nowhere to escape. It is important to understand that  people need their off time.
2. Not all folks on a field crew will be the best of friends one of the most fun and simultaneously most frustrating experiences was crew quarters shred by 5 folks from 5 continents. We had no cultural background in common customs were very different. The one thin we shared was our passion for biology... and we exchanged some lovely recipes. But it was also explosive and we argued voraciously. 
","Talk to you crew, make sure they know what you need and what your goals are, but also listen to them and make sure you know their needsa and goals and wherever possible do your best to make things align ","","","Remember the person most passionate about your reaserch is you and alow people to be engaged without drowning them in it."
"2021/11/22 6:35:00 PM CST","Postdoctoral researcher",3,6,0,"Remote environments","field safety plan (including communications), ensuring appropriate gear for everyone, assign and complete trainings (first aid, wilderness, etc)","daily group check-ins reviewing work schedule and safety plan, communications tests/checks, working in teams or pairs","meet with entire team to discuss a Community Agreement (to agree on behavioral norms for sleep, where to use the bathroom, communicating problems, etc), training in preventing sexual harassment and assault, sharing communications plans ","daily group check-ins reviewing any issues, also check ins with individuals, rotating teams/pairs, giving everyone access to communications (radio, sat. phone, cell phone).","debrief with crew members; revisit field safety plan, communications plan, and community agreement and take good notes about what worked/didn't. Identify any areas where training is needed.","All are expected to follow safety and communication plans. If volunteers or students join mid-season, trainings and intros happen in the field. ","great communication, great community building","poor morale, very long hard work days with no breaks, team members bickering","Take the time to plan (and delegate). A field safety plan, a communications plan (who has the radios and how to use them, what will you/they do if there's a problem, who to talk to and how to get in touch), and meeting the crew to talk through a community agreement (what are the shared behaviors that we agree are/aren't ok) can go a long way. ","Field Safety Plan template: https://ucdavis.app.box.com/s/9395kqk32r8aiuhuy510dhb7fgr8qqzy","Get a department wide training - Building a better fieldwork future - training to prevent sexual harassment and assault:
https://fieldworkfuture.ucsc.edu","Depending on where the fieldwork is, interactions with ""outsiders"" (those outside your research group/field team) can disrupt any plans you have made. Be sure you address how you plan to deal with the local community when you make your plans, including any culturally sensitive topics on how you should dress or act. "
"2021/11/22 7:57:36 PM CST","Postdoctoral researcher",5,5,0,"Remote environments","First aid training","Defensive driving training","Thorough preparation of the sampling design","Getting on the same page about communication","Making sure everyone has been properly paid","Try to pay everyone if possible. Volunteer labor is considered bonus productivity with ~zero expectations","Developing good rapport with everyone and establishing clear expectations from the beginning, but also understanding where everyone's at and tailoring the field work to people's skills/ work ethic/ ability to withstand the elements, etc","Bad communication","Comunícate well, early and often. Prepare as much as possible ahead of time","Not that I can think of","No","I think that's all I can think of now"
"2021/11/22 8:38:46 PM CST","Graduate Student",5,0,0,"Semi-remote (ie, wildlands near cities)","Ensure field crew is aware of safety protocol; ensure folks hired for field crew are physically capable of common tasks; ensure field sites are safe to access","Check in with the field team throughout the day; permit breaks when folks on the team need them; constantly evaluate whether situations are safe and if they are not what needs to be done to make them safe (including leaving the site)","Ensure folks hired for the crew have emotional intelligence and will be good communicators; have meeting or briefing prior to field work about interpersonal interactions","Check in with the field crew throughout the day; have tough conversations when they need to be had; ensure everyone is working together smoothly and if they are not less conversations to rectify the situation","Ask field crew how the leader could improve and better support the crew","Paid assistants get less slack about being timely and doing tasks; volunteers still need to do a good job but aren't expected to bear the brunt of the work. Honestly I rarely work with volunteers though.","Encouraging questions from the crew, facilitating independence","Interpersonal struggles, techs who do a sloppy job and don't take feedback well","Ask your advisor for advice on what to do; ask other graduate students with field leadership experience for advice; encourage your crew to always ask questions ","None that I'm aware of - this seems like a huge need","Our program offers a field safety course at the start of the summer, but it honestly isn't very useful ",""
"2021/11/22 8:50:16 PM CST","Postdoctoral researcher",5,4,0,"Semi-remote (ie, wildlands near cities)","If new to a field site/region - meet with people with experience at that site/region and ask for 'SOP' for field safety.","Making supplies readily available when in the field (e.g. gloves, float coats, etc.) to keep the field crew safe/warm/healthy, Sending an email with details that outlines strategies to stay safe/warm/healthy. Making sure there are supplies available that fit the body sizes of the field crew (e.g. gloves/coats/boots not too large) - can be a gender issue where men don't consider that women need smaller sizes or smaller size field gear may not be readily available to buy. These strategies help avoid tripping hazards, chemical spills from badly fitting gloves, helping field crew feel confident. Making sure the field crew has time to eat meals so that their energy is not drained by the end of the day, and given them notice if/when they should bring food.","Ask field crew how they are feeling that day. Maybe if a large group, make statement of value of equity, diversity, and inclusion, and interest in feedback.","1- emailing the field crew the day before with details, 2 - keeping all information the field crew needs in one google sheet or other shared document","Surveying the field crew to identify what went well and what could be improved in the future. ","I assume that I am responsible for making sure everyone knows how to stay safe/healthy/warm without making assumptions about experience and knowledge of safety. I have also made the mistake of being a new person leading a group of more-experienced undergrads and assuming that they knew how to stay warm when they did not actually have the experience to know how quickly weather conditions can change, so now, even if I am new to a group of people who I consider to have more local knowledge than me, but who are still novices, I still consider it my responsibility to consider what could go wrong and require all to wear appropriate gear for this. ","I kept a google sheet and had students sign up there and kept important information there. I asked for feedback in surveys. I emailed the students the day before with weather and reminders for the field day. ","For my field sites, staying warm when on the water in weather that changes quickly (e.g. windy day in the summer) is difficult. Often, when we are at the different sites, we encounter new unexpected changes in the weather (e.g. the temperature will be 10 degrees below the predicted temp). We do our best to adapt. This is a new region for me to work in. ","Bring someone more experienced than you to bounce ideas off of in the beginning. Then, when you know you will have fewer unknowns, bring those who are less experienced than you and share the joy of doing fieldwork with them. It will keep you motivated in your research, and studies show that undergrad research involvement keeps students motivated to pursue a STEM field. ","","",""
